"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"ASAL","Automotive Stampings and Assemblies Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"ASALCBR","Associated Alcohols & Breweries Ltd.","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"ATUL","Atul Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"BANKBARODA","Bank of Baroda","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"CGPOWER","CG Power and Industrial Solutions Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"CONCOR","Container Corporation of India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026, dividend and other business matters","24-Jul-2026"
"CREDITACC","CREDITACCESS GRAMEEN LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"CYBERMEDIA","Cyber Media (India) Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
"DALBHARAT","Dalmia Bharat Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","24-Jul-2026"
"DCBBANK","DCB Bank Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","24-Jul-2026"
